text,expected,predicted
"Я бы РЕКОМЕНДОВАЛ иметь оружие, и использовать его по назначению. Уголовный кодекс рекомендовал бы почитать, ПОСЛЕ Конституции. Закон об оружии начинать исполнять сразу - как только государство исполнит Конституцию, обеспечит базовые права, и изолирует от общества тех, кто по какой-то причине не готов исполнять законы. На тот период, пока не готов. В места с более простыми понятиями и более действенными мерами принуждения.
",0.0,0.0
"Интересно что производят в Норвегии?? Главное в том что норвеги очень неплохо живут в отличие от Китая,где загажены вода,воздух и земля
",0.0,0.0
"Сейчас бы в 2к18 не иметь фейкоаккаунтов в платежах.
",0.0,0.0
"Эй, слющяй, чо оскорбляешь срязю?
",1.0,1.0
"НАВАЛЬНЫЙ ХУЙ ПАТЛАТЫЙ. ОН МНЕ ОМЕРЗИТЕЛЕН ТЕМ ЧТО НЕ ПРИЗЫВАЕТ РАБОВ К ОРУЖИЮ И ПОЗОРИТ ОТСОССИЯН ЕЩЕ БОЛЬШЕ.
",1.0,0.0
"да эти татары тот еще народец, гнилой весьма и весьма...
",1.0,0.0
"Интересно, как же это связано? Но, нет, не отдаю. Ничего из этого нет.
",0.0,0.0
"Какие же вы тугие. ДА НЕ БЕРУТ В МОСКВУ С ПЛОХИМИ АНАЛИЗАМИ! Вот ебучая истина. Туда привозят уже стабильных больных и эти светила уже что то лечат. К нам привозят умирающих мам, которых трогать страшно, а потом мы суки. Идите в пень.
",1.0,0.0
"Вы внимательно перечитайте статью. С этой микросхемой включение и выключение происходит строго при переходе через 0. В отличие от диммера с фазовой модуляцией.
",0.0,0.0
"Как бы наши не начали эффективно осваивать бюджет в этом же направлении...
",0.0,0.0
"Религия аккумуляторов, конструктив которых имеет сообщение с атмосферой. От искры, возникающей в момент подключения минуса духи могут и рвануть. Практически неактуально сейчас, но лучше перебдеть, чем тушить автомобиль.
",0.0,0.0
"Хоть и знаю что сказка, но на душе стало хорошо)
",0.0,0.0
"Мы не знаем, что они думали. Это все училки выдумывали и нас заставляли.
",0.0,0.0
"в Москве один раз машинист такому в громкоговоритель сказал крикнул не в деревне живём! следующий через 2 минуты! на будущее видать)
",0.0,0.0
"Это из-за того, что менеджеру надо платить 18 тысяч рублей в месяц, и можно менять из раз в месяц, а хорошего инженера надо сначала учить в институте 5 лет, потом прогонять по всяких курсам повышения квалификации и платить ему уже 60 тысяч рублей в месяц, да на курсы убить тысяч 200, сова не одобряет, это не эффективно.
",0.0,0.0
"Я в свои лучшие годы на градирню в качестве тренировки залезал. Это около 90 метров, причем в конце лестница имеет небольшой отрицательный уклон. А вот вышки телефонные разлюбил, когда узнал, через сколько в наших краях ГБР приезжает по сигналу от датчиков.
",0.0,0.0
"Хоть ты и дегенерат, но ты прав. В том, что ты грязноштанный потомок холопа, нет моей заслуги, лишь заслуга твоей матери шлюхи, и ее матери шлюхи, и т.д.
",1.0,1.0
"в пятых, на яблоке есть предустановленная почта, зачем еще одну скачивать?
",0.0,0.0
"Расстилайте скатерть!
",1.0,1.0
"Ага по второй ссылке США ниже России. Это тебя не напрягло? Ладно, хули с тобой разговаривать. Мне не интересно. Жри помои дальше.
",1.0,1.0
"Ну так организуйте свой кинотеатр, с блекджеком и без рекламы. А то все и много платить не хотят и рекламу смотреть не хотят. А каким образом должны окупать себя кинотеатры при таком подходе-непонятно. А если их закрыть, то эти же нытика будут ныть вооот, кинотеатров нету, сходить некуда .
",0.0,0.0
"Вопрос автору . Хочу поставить котел на 24 кило, но пока без батарей, только горячая вода,душ. Стоит делать хоть бы одну батарею в системе для типа поддержания давления ?
",0.0,0.0
"У на в РФ после пожара в Зимней вишне пожнадзор за фасады из горючих материалов сношает на раз. Только демонтаж.
",0.0,1.0
"1 колесная пара толщиной обода более 70мм ( новые диски) от 200 000. На вагон 4 кп. Литье на вагон по 60 - 80 т.р. за элемент. стоимость ремонта в депо от 25 до 50 т.р. вот и считай. 1,2 - 1,4 млн за сход вагона. Новый в районе 3.5 млн. В зависимости от модели.
",0.0,0.0
"В Копенгагене, наверное. Ну или в закрытых городах ящиках . Я не знаю, где этого не было. У меня сторчалась половина класса. Это реально потерянное поколение.
",0.0,0.0
"не там чмошники сидят тока
",1.0,0.0
"Плохо что тебя не интересуют особи женского пола)
",1.0,1.0
"А у нас просто скипают титры и сразу показывают сцены)
",0.0,1.0
"Все кроме тигра похожи на обычных дворовых котов)
",0.0,0.0
